embedding_model,classifier,repeat,seed,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
albert,RandomForest,1,42,0.993984266543267,0.8245681381957773,0.9013848090642048,112913,2605,224.70682,2.30637
albert,LogisticRegression,1,42,0.3060291574005436,0.9508637236084453,0.4630339284045238,112913,2605,104.12765,0.0184
albert,KNN,1,42,0.9691542288557214,0.7477927063339731,0.8442036836403034,112913,2605,0.18522,106.58759
albert,MLP,1,42,0.9128022195798653,0.8840690978886756,0.8982059282371295,112913,2605,105.50809,0.10949
albert,CatBoost,1,42,0.8947916666666667,0.9892514395393474,0.9396536007292616,112913,2605,60.89473,0.13628
albert,XGBoost,1,42,0.9657534246575342,0.9742802303262956,0.969998089050258,112913,2605,15.46448,0.37881
bart,RandomForest,1,42,0.993984266543267,0.8245681381957773,0.9013848090642048,112913,2605,224.46428,2.29603
bart,LogisticRegression,1,42,0.3060291574005436,0.9508637236084453,0.4630339284045238,112913,2605,103.18572,0.016
bart,KNN,1,42,0.9691542288557214,0.7477927063339731,0.8442036836403034,112913,2605,0.18945,105.97088
bart,MLP,1,42,0.9128022195798653,0.8840690978886756,0.8982059282371295,112913,2605,106.41375,0.10971
bart,CatBoost,1,42,0.8947916666666667,0.9892514395393474,0.9396536007292616,112913,2605,60.79307,0.12631
bart,XGBoost,1,42,0.9657534246575342,0.9742802303262956,0.969998089050258,112913,2605,15.48139,0.37859
bert,RandomForest,1,42,0.993984266543267,0.8245681381957773,0.9013848090642048,112913,2605,224.40057,2.21313
bert,LogisticRegression,1,42,0.3060291574005436,0.9508637236084453,0.4630339284045238,112913,2605,108.52673,0.01612
bert,KNN,1,42,0.9691542288557214,0.7477927063339731,0.8442036836403034,112913,2605,0.18747,104.63884
bert,MLP,1,42,0.9128022195798653,0.8840690978886756,0.8982059282371295,112913,2605,105.99898,0.10952
bert,CatBoost,1,42,0.8947916666666667,0.9892514395393474,0.9396536007292616,112913,2605,61.00035,0.1346
bert,XGBoost,1,42,0.9657534246575342,0.9742802303262956,0.969998089050258,112913,2605,15.3463,0.36685
distilbert,RandomForest,1,42,0.993984266543267,0.8245681381957773,0.9013848090642048,112913,2605,222.37165,2.24241
distilbert,LogisticRegression,1,42,0.3060291574005436,0.9508637236084453,0.4630339284045238,112913,2605,108.99424,0.01499
distilbert,KNN,1,42,0.9691542288557214,0.7477927063339731,0.8442036836403034,112913,2605,0.18274,106.2092
distilbert,MLP,1,42,0.9128022195798653,0.8840690978886756,0.8982059282371295,112913,2605,105.92557,0.10935
