timestamp,model,scenario,category,relation,dataset,t_embed_src_s,t_embed_tgt_s,t_embed_total_s,status,error
2025-08-24T16:15:02,roberta,s_i,ChEMBL,Joinable,assays_both_50_1_ac1_ev,6.896198,5.440549,12.458258,ok,
2025-08-24T16:15:15,roberta,s_i,ChEMBL,Joinable,assays_both_50_1_ac2_ev,5.157155,5.332286,10.583048,ok,
2025-08-24T16:15:25,roberta,s_i,ChEMBL,Joinable,assays_both_50_1_ac3_ev,5.153983,5.306622,10.548561,ok,
2025-08-24T16:15:36,roberta,s_i,ChEMBL,Joinable,assays_both_50_1_ac4_ev,5.121594,5.325256,10.534522,ok,
2025-08-24T16:15:46,roberta,s_i,ChEMBL,Joinable,assays_both_50_1_ac5_ev,1.302402,5.337598,6.681768,ok,
2025-08-24T16:15:53,roberta,s_i,ChEMBL,Joinable,assays_both_50_1_ec_ev,5.16764,5.301583,10.555595,ok,
2025-08-24T16:16:03,roberta,s_i,ChEMBL,Joinable,assays_both_50_30_ac1_ev,5.961951,6.582595,12.654144,ok,
2025-08-24T16:16:16,roberta,s_i,ChEMBL,Joinable,assays_both_50_30_ac2_ev,5.97485,7.709883,13.748714,ok,
2025-08-24T16:16:30,roberta,s_i,ChEMBL,Joinable,assays_both_50_30_ac3_ev,5.953654,6.577975,12.62931,ok,
2025-08-24T16:16:43,roberta,s_i,ChEMBL,Joinable,assays_both_50_30_ac4_ev,5.925556,6.56497,12.593773,ok,
2025-08-24T16:16:55,roberta,s_i,ChEMBL,Joinable,assays_both_50_30_ac5_ev,5.954589,6.594649,12.650437,ok,
2025-08-24T16:17:08,roberta,s_i,ChEMBL,Joinable,assays_both_50_30_ec_ev,5.988588,6.630928,12.721967,ok,
2025-08-24T16:17:20,roberta,s_i,ChEMBL,Joinable,assays_both_50_50_ac1_ev,7.254641,7.414307,14.787229,ok,
2025-08-24T16:17:35,roberta,s_i,ChEMBL,Joinable,assays_both_50_50_ac2_ev,7.221928,8.509768,15.865689,ok,
2025-08-24T16:17:51,roberta,s_i,ChEMBL,Joinable,assays_both_50_50_ac3_ev,7.162959,7.418552,14.700213,ok,
2025-08-24T16:18:06,roberta,s_i,ChEMBL,Joinable,assays_both_50_50_ac4_ev,7.254919,7.468278,14.843632,ok,
2025-08-24T16:18:21,roberta,s_i,ChEMBL,Joinable,assays_both_50_50_ac5_ev,7.232129,7.459979,14.810356,ok,
2025-08-24T16:18:36,roberta,s_i,ChEMBL,Joinable,assays_both_50_50_ec_ev,7.138525,7.33927,14.527942,ok,
2025-08-24T16:18:50,roberta,s_i,ChEMBL,Joinable,assays_both_50_70_ac1_ev,8.055014,9.644053,17.848121,ok,
2025-08-24T16:19:08,roberta,s_i,ChEMBL,Joinable,assays_both_50_70_ac2_ev,8.001879,8.725749,16.861909,ok,
2025-08-24T16:19:25,roberta,s_i,ChEMBL,Joinable,assays_both_50_70_ac3_ev,8.045876,9.774332,17.968065,ok,
2025-08-24T16:19:43,roberta,s_i,ChEMBL,Joinable,assays_both_50_70_ac4_ev,7.956646,8.757197,16.7695,ok,
2025-08-24T16:19:59,roberta,s_i,ChEMBL,Joinable,assays_both_50_70_ac5_ev,7.930392,9.704061,17.707796,ok,
2025-08-24T16:20:17,roberta,s_i,ChEMBL,Joinable,assays_both_50_70_ec_ev,7.922884,9.881299,17.875866,ok,
2025-08-24T16:20:35,roberta,s_i,ChEMBL,Joinable,assays_vertical_1_ac1_ev,4.959405,5.343289,10.348839,ok,
2025-08-24T16:20:45,roberta,s_i,ChEMBL,Joinable,assays_vertical_1_ac2_ev,5.544728,5.252682,10.939527,ok,
2025-08-24T16:20:56,roberta,s_i,ChEMBL,Joinable,assays_vertical_1_ac3_ev,1.352402,5.328827,6.726742,ok,
2025-08-24T16:21:03,roberta,s_i,ChEMBL,Joinable,assays_vertical_1_ac4_ev,5.636844,5.281476,11.057766,ok,
2025-08-24T16:21:14,roberta,s_i,ChEMBL,Joinable,assays_vertical_1_ac5_ev,0.129183,5.277619,5.454491,ok,
2025-08-24T16:21:20,roberta,s_i,ChEMBL,Joinable,assays_vertical_1_ec_ev,5.607688,5.354798,11.1011,ok,
2025-08-24T16:21:31,roberta,s_i,ChEMBL,Joinable,assays_vertical_30_ac1_ev,1.455067,6.617033,8.126596,ok,
2025-08-24T16:21:39,roberta,s_i,ChEMBL,Joinable,assays_vertical_30_ac2_ev,6.466549,6.615442,13.252282,ok,
2025-08-24T16:21:52,roberta,s_i,ChEMBL,Joinable,assays_vertical_30_ac3_ev,6.488857,8.08808,14.780035,ok,
2025-08-24T16:22:07,roberta,s_i,ChEMBL,Joinable,assays_vertical_30_ac4_ev,6.600886,7.979545,14.773437,ok,
2025-08-24T16:22:22,roberta,s_i,ChEMBL,Joinable,assays_vertical_30_ac5_ev,6.475992,6.661256,13.312606,ok,
2025-08-24T16:22:35,roberta,s_i,ChEMBL,Joinable,assays_vertical_30_ec_ev,6.540324,6.65736,13.367384,ok,
2025-08-24T16:22:48,roberta,s_i,ChEMBL,Joinable,assays_vertical_50_ac1_ev,7.921005,8.904451,17.050545,ok,
2025-08-24T16:23:05,roberta,s_i,ChEMBL,Joinable,assays_vertical_50_ac2_ev,7.960534,8.796424,16.98866,ok,
2025-08-24T16:23:22,roberta,s_i,ChEMBL,Joinable,assays_vertical_50_ac3_ev,7.835531,8.844156,16.906969,ok,
2025-08-24T16:23:39,roberta,s_i,ChEMBL,Joinable,assays_vertical_50_ac4_ev,7.879988,7.546551,15.632298,ok,
2025-08-24T16:23:55,roberta,s_i,ChEMBL,Joinable,assays_vertical_50_ac5_ev,7.880928,7.512366,15.592625,ok,
2025-08-24T16:24:11,roberta,s_i,ChEMBL,Joinable,assays_vertical_50_ec_ev,8.017069,8.928805,17.191948,ok,
2025-08-24T16:24:28,roberta,s_i,ChEMBL,Joinable,assays_vertical_70_ac1_ev,8.824052,10.079232,19.160234,ok,
2025-08-24T16:24:47,roberta,s_i,ChEMBL,Joinable,assays_vertical_70_ac2_ev,2.135071,10.069213,12.297911,ok,
2025-08-24T16:24:59,roberta,s_i,ChEMBL,Joinable,assays_vertical_70_ac3_ev,8.751123,9.98204,18.980253,ok,
2025-08-24T16:25:18,roberta,s_i,ChEMBL,Joinable,assays_vertical_70_ac4_ev,8.783753,10.179094,19.220474,ok,
2025-08-24T16:25:37,roberta,s_i,ChEMBL,Joinable,assays_vertical_70_ac5_ev,8.860745,10.104503,19.216807,ok,
2025-08-24T16:25:57,roberta,s_i,ChEMBL,Joinable,assays_vertical_70_ec_ev,8.870478,9.969952,19.094699,ok,
2025-08-24T16:26:16,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac1_av,4.588463,5.196566,9.831369,ok,
2025-08-24T16:26:26,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac2_av,5.025883,5.103159,10.215081,ok,
2025-08-24T16:26:36,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac3_av,5.039656,5.110161,10.238787,ok,
2025-08-24T16:26:46,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac4_av,5.032729,5.079338,10.198666,ok,
2025-08-24T16:26:56,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac5_av,5.037628,5.105927,10.229352,ok,
2025-08-24T16:27:06,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ec_av,0.128532,5.114501,5.281055,ok,
2025-08-24T16:27:12,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac1_av,5.83641,6.498823,12.431666,ok,
2025-08-24T16:27:24,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac2_av,5.851516,7.458962,13.427519,ok,
2025-08-24T16:27:38,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac3_av,5.851883,6.353558,12.307206,ok,
2025-08-24T16:27:50,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac4_av,5.887567,6.423134,12.415378,ok,
2025-08-24T16:28:02,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac5_av,5.798267,7.418186,13.343851,ok,
2025-08-24T16:28:16,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ec_av,5.847278,6.454943,12.407734,ok,
2025-08-24T16:28:28,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac1_av,7.172188,7.385597,14.678434,ok,
2025-08-24T16:28:43,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac2_av,7.123869,8.364994,15.630669,ok,
2025-08-24T16:28:58,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac3_av,7.119637,8.525929,15.784114,ok,
2025-08-24T16:29:14,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac4_av,6.555873,7.320495,13.93305,ok,
2025-08-24T16:29:28,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac5_av,7.115967,7.356258,14.588106,ok,
2025-08-24T16:29:43,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ec_av,7.156601,8.443408,15.73865,ok,
2025-08-24T16:29:59,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac1_av,7.956014,9.670576,17.776092,ok,
2025-08-24T16:30:16,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac2_av,7.973106,9.564075,17.690722,ok,
2025-08-24T16:30:34,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac3_av,7.929516,9.65823,17.739755,ok,
2025-08-24T16:30:52,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac4_av,7.974134,8.631289,16.737469,ok,
2025-08-24T16:31:08,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac5_av,7.997102,8.633654,16.760871,ok,
2025-08-24T16:31:25,roberta,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ec_av,8.065904,8.632881,16.82978,ok,
2025-08-24T16:31:42,roberta,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac1_av,5.573721,5.156176,10.871785,ok,
2025-08-24T16:31:53,roberta,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac2_av,5.574893,5.130002,10.848418,ok,
2025-08-24T16:32:04,roberta,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac3_av,5.583501,5.222623,10.948977,ok,
