timestamp,model,scenario,category,relation,dataset,t_embed_src_s,t_embed_tgt_s,t_embed_total_s,status,error
2025-08-26T16:50:33,ada,s_i,ChEMBL,Joinable,assays_both_50_1_ac1_ev,,,1.233357,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:34,ada,s_i,ChEMBL,Joinable,assays_both_50_1_ac2_ev,,,0.408364,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:35,ada,s_i,ChEMBL,Joinable,assays_both_50_1_ac3_ev,,,1.24268,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:36,ada,s_i,ChEMBL,Joinable,assays_both_50_1_ac4_ev,,,0.616426,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:37,ada,s_i,ChEMBL,Joinable,assays_both_50_1_ac5_ev,6.845608,,7.162689,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 32761 tokens (32761 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:44,ada,s_i,ChEMBL,Joinable,assays_both_50_1_ec_ev,,,0.431434,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:44,ada,s_i,ChEMBL,Joinable,assays_both_50_30_ac1_ev,,,0.408838,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:45,ada,s_i,ChEMBL,Joinable,assays_both_50_30_ac2_ev,4.636936,,4.98899,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 32753 tokens (32753 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:50,ada,s_i,ChEMBL,Joinable,assays_both_50_30_ac3_ev,,,0.376958,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:50,ada,s_i,ChEMBL,Joinable,assays_both_50_30_ac4_ev,,,0.419133,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:50,ada,s_i,ChEMBL,Joinable,assays_both_50_30_ac5_ev,,,0.390185,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:51,ada,s_i,ChEMBL,Joinable,assays_both_50_30_ec_ev,,,0.501475,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
2025-08-26T16:50:51,ada,s_i,ChEMBL,Joinable,assays_both_50_50_ac1_ev,,,0.522028,failed,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 8192 tokens, however you requested 36503 tokens (36503 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
