timestamp,model,scenario,category,relation,dataset,t_embed_src_s,t_embed_tgt_s,t_embed_total_s,status,error
2025-08-24T20:08:42,albert,s_i,ChEMBL,Joinable,assays_both_50_1_ac1_ev,6.281107,6.111464,12.482461,ok,
2025-08-24T20:08:55,albert,s_i,ChEMBL,Joinable,assays_both_50_1_ac2_ev,6.036099,6.03755,12.158036,ok,
2025-08-24T20:09:07,albert,s_i,ChEMBL,Joinable,assays_both_50_1_ac3_ev,6.002118,6.008197,12.09087,ok,
2025-08-24T20:09:19,albert,s_i,ChEMBL,Joinable,assays_both_50_1_ac4_ev,5.929097,6.057698,12.067535,ok,
2025-08-24T20:09:31,albert,s_i,ChEMBL,Joinable,assays_both_50_1_ac5_ev,1.472909,5.989315,7.497,ok,
2025-08-24T20:09:39,albert,s_i,ChEMBL,Joinable,assays_both_50_1_ec_ev,6.006393,6.062967,12.147473,ok,
2025-08-24T20:09:51,albert,s_i,ChEMBL,Joinable,assays_both_50_30_ac1_ev,6.960232,7.439404,14.491719,ok,
2025-08-24T20:10:05,albert,s_i,ChEMBL,Joinable,assays_both_50_30_ac2_ev,6.683145,8.826503,15.564456,ok,
2025-08-24T20:10:21,albert,s_i,ChEMBL,Joinable,assays_both_50_30_ac3_ev,6.869582,7.391421,14.349601,ok,
2025-08-24T20:10:35,albert,s_i,ChEMBL,Joinable,assays_both_50_30_ac4_ev,6.828097,7.416646,14.336655,ok,
2025-08-24T20:10:50,albert,s_i,ChEMBL,Joinable,assays_both_50_30_ac5_ev,6.875356,7.385295,14.353884,ok,
2025-08-24T20:11:04,albert,s_i,ChEMBL,Joinable,assays_both_50_30_ec_ev,6.888663,7.396021,14.376254,ok,
2025-08-24T20:11:18,albert,s_i,ChEMBL,Joinable,assays_both_50_50_ac1_ev,8.37682,8.329241,16.820161,ok,
2025-08-24T20:11:35,albert,s_i,ChEMBL,Joinable,assays_both_50_50_ac2_ev,8.255715,9.836862,18.213953,ok,
2025-08-24T20:11:53,albert,s_i,ChEMBL,Joinable,assays_both_50_50_ac3_ev,8.239778,8.366101,16.711368,ok,
2025-08-24T20:12:10,albert,s_i,ChEMBL,Joinable,assays_both_50_50_ac4_ev,8.344004,8.409925,16.86176,ok,
2025-08-24T20:12:27,albert,s_i,ChEMBL,Joinable,assays_both_50_50_ac5_ev,8.229198,8.390387,16.726277,ok,
2025-08-24T20:12:44,albert,s_i,ChEMBL,Joinable,assays_both_50_50_ec_ev,8.035548,8.312967,16.393204,ok,
2025-08-24T20:13:00,albert,s_i,ChEMBL,Joinable,assays_both_50_70_ac1_ev,9.252537,11.000387,20.385417,ok,
2025-08-24T20:13:20,albert,s_i,ChEMBL,Joinable,assays_both_50_70_ac2_ev,9.210489,9.86013,19.193248,ok,
2025-08-24T20:13:40,albert,s_i,ChEMBL,Joinable,assays_both_50_70_ac3_ev,9.188033,11.050239,20.37159,ok,
2025-08-24T20:14:00,albert,s_i,ChEMBL,Joinable,assays_both_50_70_ac4_ev,8.938456,9.799472,18.789031,ok,
2025-08-24T20:14:19,albert,s_i,ChEMBL,Joinable,assays_both_50_70_ac5_ev,8.980996,11.053829,20.098495,ok,
2025-08-24T20:14:39,albert,s_i,ChEMBL,Joinable,assays_both_50_70_ec_ev,8.946715,11.256754,20.265946,ok,
2025-08-24T20:14:59,albert,s_i,ChEMBL,Joinable,assays_vertical_1_ac1_ev,5.692708,6.039555,11.771057,ok,
2025-08-24T20:15:11,albert,s_i,ChEMBL,Joinable,assays_vertical_1_ac2_ev,6.576872,6.054088,12.761316,ok,
2025-08-24T20:15:24,albert,s_i,ChEMBL,Joinable,assays_vertical_1_ac3_ev,1.502106,6.082721,7.625362,ok,
2025-08-24T20:15:31,albert,s_i,ChEMBL,Joinable,assays_vertical_1_ac4_ev,6.578142,6.115922,12.827889,ok,
2025-08-24T20:15:44,albert,s_i,ChEMBL,Joinable,assays_vertical_1_ac5_ev,0.116182,6.104113,6.261371,ok,
2025-08-24T20:15:50,albert,s_i,ChEMBL,Joinable,assays_vertical_1_ec_ev,6.637612,6.096653,12.8664,ok,
2025-08-24T20:16:03,albert,s_i,ChEMBL,Joinable,assays_vertical_30_ac1_ev,1.691224,7.592423,9.331057,ok,
2025-08-24T20:16:13,albert,s_i,ChEMBL,Joinable,assays_vertical_30_ac2_ev,7.569603,7.556436,15.277722,ok,
2025-08-24T20:16:28,albert,s_i,ChEMBL,Joinable,assays_vertical_30_ac3_ev,7.535771,9.171521,16.89041,ok,
2025-08-24T20:16:45,albert,s_i,ChEMBL,Joinable,assays_vertical_30_ac4_ev,7.707581,9.146602,17.039472,ok,
2025-08-24T20:17:02,albert,s_i,ChEMBL,Joinable,assays_vertical_30_ac5_ev,7.54175,7.594717,15.294412,ok,
2025-08-24T20:17:17,albert,s_i,ChEMBL,Joinable,assays_vertical_30_ec_ev,7.536072,7.588976,15.292347,ok,
2025-08-24T20:17:32,albert,s_i,ChEMBL,Joinable,assays_vertical_50_ac1_ev,9.153927,10.152645,19.512739,ok,
2025-08-24T20:17:52,albert,s_i,ChEMBL,Joinable,assays_vertical_50_ac2_ev,9.086964,10.143162,19.434645,ok,
2025-08-24T20:18:11,albert,s_i,ChEMBL,Joinable,assays_vertical_50_ac3_ev,9.004412,10.129765,19.336949,ok,
2025-08-24T20:18:31,albert,s_i,ChEMBL,Joinable,assays_vertical_50_ac4_ev,9.082528,8.465653,17.735247,ok,
2025-08-24T20:18:48,albert,s_i,ChEMBL,Joinable,assays_vertical_50_ac5_ev,8.990244,8.409868,17.583092,ok,
2025-08-24T20:19:06,albert,s_i,ChEMBL,Joinable,assays_vertical_50_ec_ev,9.165864,9.950987,19.321831,ok,
2025-08-24T20:19:25,albert,s_i,ChEMBL,Joinable,assays_vertical_70_ac1_ev,10.123434,11.780002,22.129023,ok,
2025-08-24T20:19:48,albert,s_i,ChEMBL,Joinable,assays_vertical_70_ac2_ev,2.563433,11.802833,14.447591,ok,
2025-08-24T20:20:02,albert,s_i,ChEMBL,Joinable,assays_vertical_70_ac3_ev,10.195408,11.505951,21.926998,ok,
2025-08-24T20:20:24,albert,s_i,ChEMBL,Joinable,assays_vertical_70_ac4_ev,10.112013,11.620509,21.963183,ok,
2025-08-24T20:20:46,albert,s_i,ChEMBL,Joinable,assays_vertical_70_ac5_ev,10.217581,11.576911,22.018683,ok,
2025-08-24T20:21:08,albert,s_i,ChEMBL,Joinable,assays_vertical_70_ec_ev,10.131317,11.490375,21.849542,ok,
2025-08-24T20:21:30,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac1_av,5.457755,5.995661,11.507148,ok,
2025-08-24T20:21:41,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac2_av,5.937778,5.996372,12.018028,ok,
2025-08-24T20:21:53,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac3_av,6.005933,6.026143,12.11785,ok,
2025-08-24T20:22:05,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac4_av,6.011828,5.99571,12.091464,ok,
2025-08-24T20:22:17,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ac5_av,5.992856,6.068159,12.143539,ok,
2025-08-24T20:22:30,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_1_ec_av,0.117885,6.031213,6.189154,ok,
2025-08-24T20:22:36,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac1_av,6.871668,7.477368,14.44076,ok,
2025-08-24T20:22:50,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac2_av,6.839147,8.660564,15.607228,ok,
2025-08-24T20:23:06,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac3_av,6.874809,7.369799,14.33655,ok,
2025-08-24T20:23:20,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac4_av,6.954093,7.500056,14.547784,ok,
2025-08-24T20:23:35,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ac5_av,6.863475,8.766856,15.736067,ok,
2025-08-24T20:23:51,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_30_ec_av,6.882207,7.44044,14.412002,ok,
2025-08-24T20:24:05,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac1_av,8.349654,8.349859,16.807093,ok,
2025-08-24T20:24:22,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac2_av,8.266983,9.629914,18.015646,ok,
2025-08-24T20:24:40,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac3_av,8.32312,9.664949,18.111508,ok,
2025-08-24T20:24:58,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac4_av,7.614088,8.357851,16.018574,ok,
2025-08-24T20:25:14,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ac5_av,8.247654,8.386546,16.738081,ok,
2025-08-24T20:25:31,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_50_ec_av,8.31002,9.56798,18.000053,ok,
2025-08-24T20:25:49,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac1_av,9.287168,11.179113,20.600088,ok,
2025-08-24T20:26:09,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac2_av,9.232309,11.034076,20.398011,ok,
2025-08-24T20:26:30,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac3_av,9.169212,11.030183,20.332962,ok,
2025-08-24T20:26:50,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac4_av,9.15314,9.863376,19.151302,ok,
2025-08-24T20:27:09,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ac5_av,9.177563,9.748559,19.045209,ok,
2025-08-24T20:27:28,albert,s_i,ChEMBL,Semantically-Joinable,assays_both_50_70_ec_av,9.197236,9.736615,19.051981,ok,
2025-08-24T20:27:47,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac1_av,6.498865,5.992228,12.631268,ok,
2025-08-24T20:28:00,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac2_av,6.395221,5.860552,12.39112,ok,
2025-08-24T20:28:12,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac3_av,6.495393,6.051814,12.684922,ok,
2025-08-24T20:28:25,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac4_av,6.542803,5.961291,12.638548,ok,
2025-08-24T20:28:38,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ac5_av,6.515691,5.965673,12.617135,ok,
2025-08-24T20:28:50,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_1_ec_av,5.714563,5.977703,11.73532,ok,
2025-08-24T20:29:02,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_30_ac1_av,6.610685,7.470226,14.127879,ok,
2025-08-24T20:29:16,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_30_ac2_av,7.456343,8.989288,16.617197,ok,
2025-08-24T20:29:33,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_30_ac3_av,7.463551,7.391662,15.013687,ok,
2025-08-24T20:29:48,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_30_ac4_av,7.468865,7.441787,15.065803,ok,
2025-08-24T20:30:03,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_30_ac5_av,7.489126,7.377453,15.018478,ok,
2025-08-24T20:30:18,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_30_ec_av,7.361928,7.471235,14.986421,ok,
2025-08-24T20:30:33,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_50_ac1_av,9.035954,9.940522,19.179206,ok,
2025-08-24T20:30:52,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_50_ac2_av,9.035363,8.433234,17.652788,ok,
2025-08-24T20:31:10,albert,s_i,ChEMBL,Semantically-Joinable,assays_vertical_50_ac3_av,8.967739,8.351035,17.503378,ok,
