timestamp,model,scenario,category,relation,dataset,t_embed_src_s,t_embed_tgt_s,t_embed_total_s,status,error
2025-08-24T11:22:50,minilm,s_i,ChEMBL,Joinable,assays_both_50_1_ac1_ev,2.044419,1.845236,3.985983,ok,
2025-08-24T11:22:54,minilm,s_i,ChEMBL,Joinable,assays_both_50_1_ac2_ev,1.567436,1.772762,3.424887,ok,
2025-08-24T11:22:57,minilm,s_i,ChEMBL,Joinable,assays_both_50_1_ac3_ev,1.508406,1.710725,3.300195,ok,
2025-08-24T11:23:00,minilm,s_i,ChEMBL,Joinable,assays_both_50_1_ac4_ev,1.520411,1.703697,3.305714,ok,
2025-08-24T11:23:04,minilm,s_i,ChEMBL,Joinable,assays_both_50_1_ac5_ev,0.237544,1.667816,1.939311,ok,
2025-08-24T11:23:06,minilm,s_i,ChEMBL,Joinable,assays_both_50_1_ec_ev,1.509624,1.657287,3.252404,ok,
2025-08-24T11:23:09,minilm,s_i,ChEMBL,Joinable,assays_both_50_30_ac1_ev,1.752616,2.107497,3.954395,ok,
2025-08-24T11:23:13,minilm,s_i,ChEMBL,Joinable,assays_both_50_30_ac2_ev,1.702741,3.216744,4.973356,ok,
2025-08-24T11:23:18,minilm,s_i,ChEMBL,Joinable,assays_both_50_30_ac3_ev,1.686071,2.078873,3.854044,ok,
2025-08-24T11:23:22,minilm,s_i,ChEMBL,Joinable,assays_both_50_30_ac4_ev,1.66605,2.068439,3.826265,ok,
2025-08-24T11:23:26,minilm,s_i,ChEMBL,Joinable,assays_both_50_30_ac5_ev,1.7381,2.206687,4.03546,ok,
2025-08-24T11:23:30,minilm,s_i,ChEMBL,Joinable,assays_both_50_30_ec_ev,1.75732,2.113191,3.962359,ok,
2025-08-24T11:23:34,minilm,s_i,ChEMBL,Joinable,assays_both_50_50_ac1_ev,2.077925,2.361617,4.547111,ok,
2025-08-24T11:23:38,minilm,s_i,ChEMBL,Joinable,assays_both_50_50_ac2_ev,2.083587,3.49035,5.695797,ok,
2025-08-24T11:23:44,minilm,s_i,ChEMBL,Joinable,assays_both_50_50_ac3_ev,2.039748,2.379658,4.524955,ok,
2025-08-24T11:23:48,minilm,s_i,ChEMBL,Joinable,assays_both_50_50_ac4_ev,2.071464,2.426385,4.606484,ok,
2025-08-24T11:23:53,minilm,s_i,ChEMBL,Joinable,assays_both_50_50_ac5_ev,2.062623,2.427149,4.596102,ok,
2025-08-24T11:23:58,minilm,s_i,ChEMBL,Joinable,assays_both_50_50_ec_ev,2.013714,2.27026,4.330499,ok,
2025-08-24T11:24:02,minilm,s_i,ChEMBL,Joinable,assays_both_50_70_ac1_ev,2.303698,3.69428,6.130429,ok,
2025-08-24T11:24:08,minilm,s_i,ChEMBL,Joinable,assays_both_50_70_ac2_ev,2.217221,2.763973,5.102349,ok,
