Family,F1,Recall,Precision,Seed
Topology,0.5326865326865327,0.4822250104558762,0.5949432404540763,4665
Spectral,0.1979575805184603,0.1580928481806775,0.2647058823529412,4665
Classiques,0.8835308541070699,0.90422417398578,0.8637634838194167,4665
Topology,0.5163915894189464,0.4160291438979963,0.6805721096543504,4272
Spectral,0.2338247338247338,0.2080145719489981,0.2669471715755026,4272
Classiques,0.8348432055749129,0.8728597449908926,0.8,4272
Topology,0.509090909090909,0.3959390862944162,0.7127937336814621,4551
Spectral,0.2347942754919499,0.1903553299492385,0.3063010501750292,4551
Classiques,0.8591065292096219,0.9064539521392312,0.8164598301763554,4551
Topology,0.4584576054537708,0.3798093893399223,0.5781837721655024,8211
Spectral,0.2446898895497026,0.2033180374161666,0.3072,8211
Classiques,0.8734848484848485,0.8139781150723615,0.9423784225582346,8211
Topology,0.4821349801499779,0.4246309246309246,0.5576530612244898,6108
Spectral,0.1949132398383646,0.1592851592851593,0.251071647274954,6108
Classiques,0.9040730871716788,0.9226884226884228,0.8861940298507462,6108
Topology,0.5023764258555133,0.403897592663355,0.6643620364550598,5247
Spectral,0.2808912896691424,0.238440962934658,0.3417305585980285,5247
Classiques,0.9078771695594126,0.9094382881161636,0.9063214013709064,5247
Topology,0.5442238267148014,0.4366401158580739,0.7221556886227545,1982
Spectral,0.2060105528791007,0.1625633598841419,0.2811521603005635,1982
Classiques,0.8730001975113569,0.8001448225923244,0.96045197740113,1982
Topology,0.5335968379446641,0.4597701149425287,0.6356680400235433,4596
Spectral,0.279743528853004,0.2507449978714346,0.3163265306122449,4596
Classiques,0.8727132678605816,0.964665815240528,0.7967651195499297,4596
Topology,0.5081730769230769,0.4201112877583466,0.6429440389294404,8868
Spectral,0.2339126350399248,0.197933227344992,0.2858783008036739,8868
Classiques,0.9056307631940356,0.917329093799682,0.89422704378148,8868
Topology,0.4778676820561637,0.3830599008012209,0.6350411132194813,2177
Spectral,0.2628757865299464,0.215185043876383,0.3377245508982036,2177
Classiques,0.925882809468374,0.910339565051507,0.941966048164232,2177
Topology,0.4827124693285746,0.4114068441064639,0.583917970858068,4379
Spectral,0.2472711071508131,0.2110266159695817,0.2985476062399139,4379
Classiques,0.857790601813685,0.791254752851711,0.9365436543654364,4379
Topology,0.4815590947191953,0.4213421342134213,0.5618581907090464,9228
Spectral,0.2273446327683616,0.1844517785111844,0.2962308598351001,9228
Classiques,0.9025603241849328,0.8984231756508985,0.9067357512953368,9228
Topology,0.5071466384330333,0.3891145410235581,0.7279635258358662,3346
Spectral,0.2347578347578347,0.1673436230706742,0.3931297709923664,3346
Classiques,0.8570841889117043,0.847684809098294,0.8666943521594684,3346
Topology,0.5258641239570918,0.4588186356073211,0.615857063093244,6388
Spectral,0.2691425951398441,0.2441763727121464,0.2997957099080695,6388
Classiques,0.9473684210526316,0.9696339434276208,0.9261025029797376,6388
Topology,0.5309584393553859,0.4576023391812865,0.6323232323232323,4797
Spectral,0.1835539162508136,0.1546052631578947,0.2258408969567538,4797
Classiques,0.9210332103321032,0.912280701754386,0.9299552906110284,4797
Topology,0.5114556815551956,0.4185606060606061,0.6573468173706127,3077
Spectral,0.1967530894111945,0.1537878787878787,0.2730329522528581,3077
Classiques,0.8975501113585747,0.9159090909090908,0.8799126637554585,3077
Topology,0.5342530922930543,0.4398746572659616,0.6801938219261053,6543
Spectral,0.231023102310231,0.1919310614962789,0.2901124925991711,6543
Classiques,0.8596283115856069,0.8515471993732864,0.8678642714570858,6543
Topology,0.5061728395061729,0.4383464005702067,0.5988315481986368,2887
Spectral,0.2319201995012468,0.1988595866001425,0.2781655034895314,2887
Classiques,0.8971863387011149,0.9034212401995724,0.8910369068541301,2887
Topology,0.4632369176418635,0.4250405186385737,0.5089762251334303,7820
Spectral,0.2234685073339085,0.2098865478119935,0.238929889298893,7820
Classiques,0.9430861723446894,0.9534035656401944,0.9329896907216496,7820
Topology,0.5545529122231337,0.4697706740792217,0.6766766766766766,4251
Spectral,0.2221741949427274,0.1785962473940236,0.2938822184105203,4251
