Family,F1,Recall,Precision,Seed
Topology,0.4826835112175996,0.4469544171036708,0.5246212121212122,6806
Spectral,0.2048611111111111,0.190399354578459,0.2217003287928605,6806
Classiques,0.8754488754488754,0.9342476805163372,0.8236130867709816,6806
Topology,0.5287304110833523,0.4504643962848297,0.639912039582188,2156
Spectral,0.2664359861591695,0.2383900928792569,0.3019607843137254,2156
Classiques,0.8758248350329934,0.8475232198142415,0.9060819197352088,2156
Topology,0.4403755868544601,0.3698738170347003,0.5440835266821346,2631
Spectral,0.1923266109198229,0.154179810725552,0.2555555555555555,2631
Classiques,0.8643967722889195,0.8659305993690851,0.86286836935167,2631
Topology,0.5033417838211569,0.3918191603875134,0.7036082474226805,4787
Spectral,0.206792777300086,0.1725870111230714,0.2579088471849866,4787
Classiques,0.8564011033587539,0.9468963042698242,0.7816943127962085,4787
Topology,0.5135072731470792,0.4129223913850724,0.6788766788766789,4703
Spectral,0.2364746945898778,0.201262532491645,0.286620835536753,4703
Classiques,0.8695652173913043,0.850352766431489,0.8896658896658897,4703
Topology,0.4840493407060825,0.4409143742735374,0.5365393682225366,8857
Spectral,0.2287756925826631,0.1983727237504843,0.2701846965699208,8857
Classiques,0.8818608447255663,0.8372723750484309,0.9314655172413792,8857
Topology,0.4728664715154244,0.4353233830845771,0.5174963035978315,3192
Spectral,0.2169378389653734,0.2155887230514096,0.218303946263644,3192
Classiques,0.8817802503477051,0.9199834162520728,0.8466234261732163,3192
Topology,0.5282220131702728,0.4447524752475247,0.6502605674580196,1273
Spectral,0.2256141187693775,0.1873267326732673,0.2835731414868105,1273
Classiques,0.9121813031161472,0.8926732673267327,0.9325610260653704,1273
Topology,0.5593368237347295,0.4938366718027735,0.6448692152917505,9640
Spectral,0.247538048343778,0.2130200308166409,0.2954059829059829,9640
Classiques,0.9506433647013636,0.9533898305084746,0.9479126771351972,9640
Topology,0.553050397877984,0.4599264705882352,0.6934589800443459,4153
Spectral,0.2545126353790614,0.2073529411764706,0.3294392523364486,4153
Classiques,0.8645619278909022,0.850735294117647,0.8788454234713254,4153
Topology,0.4899193548387097,0.3973834832379395,0.6386333771353482,1583
Spectral,0.273059138476515,0.2293540474243663,0.3373421527360192,1583
Classiques,0.870934327739797,0.8593622240392478,0.8828223435531289,1583
Topology,0.5472972972972973,0.4418181818181818,0.7189349112426036,3652
Spectral,0.2121825129242526,0.1716363636363636,0.27781047675103,3652
Classiques,0.9008508421600973,0.9432727272727272,0.8620804253904952,3652
Topology,0.5264383880736082,0.4464638482813117,0.641316685584563,6739
Spectral,0.2404580152671755,0.1991307783484788,0.3034316676700783,6739
Classiques,0.8763826896953231,0.8921374950612406,0.8611746758199847,6739
Topology,0.4762719110731082,0.4296182028538372,0.5342925659472422,955
Spectral,0.2323529411764706,0.1827998457385268,0.3187626092804304,955
Classiques,0.8927308447937131,0.8762051677593521,0.9098918702442932,955
Topology,0.4998787878787878,0.40799366838148,0.6451814768460575,3680
Spectral,0.2457897132453345,0.2136921250494657,0.289234065345474,3680
Classiques,0.8675437015678501,0.9525128611001188,0.7964923891462607,3680
