Family,F1,Recall,Precision,Seed
Topology,0.5195056942088684,0.4228796844181459,0.6733668341708543,9740
Spectral,0.2549499443826474,0.2260355029585798,0.2923469387755102,9740
Classiques,0.9040569121322822,0.9274161735700196,0.8818454613653414,9740
Topology,0.4750479846449136,0.3723204212109816,0.6560636182902585,2945
Spectral,0.2423566168266012,0.2042121098157202,0.2980241492864983,2945
Classiques,0.9213957055214724,0.9037232042121098,0.9397731716855692,2945
Topology,0.483689538807649,0.3869690424766018,0.644871025794841,5291
Spectral,0.2232316677482154,0.1857451403887689,0.2796747967479674,5291
Classiques,0.8623223909848113,0.9503239740820736,0.7892376681614349,5291
Topology,0.5152203543843707,0.4363216621777607,0.6289517470881864,6674
Spectral,0.2354533152909337,0.2008464794151596,0.2844686648501362,6674
Classiques,0.8776353865233567,0.8168526356290882,0.9481911567664136,6674
Topology,0.4713883677298311,0.3795317220543807,0.6219059405940595,8416
Spectral,0.2480356763644085,0.2205438066465256,0.2833575934012615,8416
Classiques,0.8966398831263697,0.9271148036253776,0.8681046676096181,8416
Topology,0.5014884359972521,0.4355608591885441,0.590933621154884,7149
Spectral,0.22537241710716,0.1865552903739061,0.2845873786407767,7149
Classiques,0.8835707502374169,0.9252187748607796,0.8455107233733188,7149
Topology,0.543078626799557,0.450735294117647,0.683008356545961,1526
Spectral,0.2252821670428894,0.1834558823529411,0.291812865497076,1526
Classiques,0.886459802538787,0.924264705882353,0.8516260162601627,1526
Topology,0.4929745177423196,0.3860499813502424,0.6818181818181818,285
Spectral,0.2144873000940733,0.1700857888847445,0.2902609802673456,285
Classiques,0.8945572121429854,0.92875792614696,0.8627858627858628,285
Topology,0.4770091963214714,0.4474868717179295,0.5107020547945206,7217
Spectral,0.2278757041613665,0.2351837959489872,0.2210081071554459,7217
Classiques,0.8402141993435827,0.9122280570142536,0.7787383925712456,7217
Topology,0.4930061912405412,0.3931967812728603,0.6607252612169637,7124
Spectral,0.2058688674919761,0.1642282370153621,0.2757985257985258,7124
Classiques,0.9032140911567096,0.909656181419166,0.8968626036783267,7124
Topology,0.527771774367841,0.4351389878831076,0.6705107084019769,6579
Spectral,0.2349738219895288,0.1999287241625089,0.2849162011173184,6579
Classiques,0.9198452183526812,0.8895224518888097,0.9523082792827166,6579
Topology,0.5057471264367817,0.4375690607734807,0.5990922844175491,8125
Spectral,0.2548262548262548,0.2187845303867403,0.3050847457627119,8125
Classiques,0.89781430973286,0.8850828729281768,0.9109173616376044,8125
Topology,0.5181371401825415,0.4002169197396963,0.73457199734572,7377
Spectral,0.2828327121245341,0.2331887201735357,0.3593314763231198,7377
Classiques,0.8866446108305763,0.920462762111352,0.8552233792408465,7377
Topology,0.4410941201809175,0.3789785344189489,0.5275631117980423,4271
Spectral,0.2313741721854304,0.2068837897853442,0.2624413145539906,4271
Classiques,0.9303109778943424,0.9189489267209474,0.94195751138088,4271
Topology,0.5205959684487291,0.4398370973713439,0.6376811594202898,5576
Spectral,0.23491626519844,0.1895594224361347,0.3088057901085645,5576
Classiques,0.9215502714847408,0.9111440207330618,0.9321969696969696,5576
Topology,0.506577373834011,0.4331288343558282,0.6100230414746544,9022
Spectral,0.2321219226260258,0.2024539877300613,0.2719780219780219,9022
Classiques,0.8982161594963274,0.8752556237218814,0.9224137931034484,9022
Topology,0.5251089199724833,0.4766860949208992,0.5844818785094436,430
Spectral,0.2274698795180723,0.1965029142381349,0.2700228832951945,430
Classiques,0.9212598425196852,0.9254787676935888,0.917079207920792,430
Topology,0.5040811278753401,0.4010232192050373,0.6784287616511319,4647
Spectral,0.2829736211031175,0.2321920503738685,0.3621853898096992,4647
