Family,F1,Recall,Precision,Seed
Topology,0.4672669749330737,0.3953871499176277,0.5710886377156454,5542
Spectral,0.2027784547891786,0.171334431630972,0.2483582089552238,5542
Classiques,0.8555089592070149,0.9242174629324548,0.7963094393186657,5542
Topology,0.5012248897599216,0.3927063339731286,0.6926201760324983,8202
Spectral,0.2095880510720308,0.1669865642994241,0.2813712807244501,8202
Classiques,0.8724398131512756,0.9320537428023032,0.8199932455251604,8202
Topology,0.5601118359739049,0.4523899134362062,0.7351681957186544,5069
Spectral,0.2433837429111531,0.1938276251411366,0.326984126984127,5069
Classiques,0.9098774333093006,0.9499435453519006,0.87305430646835,5069
Topology,0.4997581035316884,0.4036733098866745,0.6558730158730158,6045
Spectral,0.2232512795515476,0.1789761625635013,0.2966321243523316,6045
Classiques,0.9147104851330204,0.9136381398983978,0.9157853505679592,6045
Topology,0.4923285198555956,0.3999266862170088,0.6402582159624414,5772
Spectral,0.2331231020789535,0.1829178885630498,0.3213135866065679,5772
Classiques,0.9194118741857435,0.905425219941349,0.9338374291115312,5772
Topology,0.5012248897599216,0.3927063339731286,0.6926201760324983,8202
Spectral,0.2095880510720308,0.1669865642994241,0.2813712807244501,8202
Classiques,0.8724398131512756,0.9320537428023032,0.8199932455251604,8202
Topology,0.5017301038062284,0.3853820598006645,0.7187112763320942,7245
Spectral,0.206986331091343,0.1584717607973421,0.298311444652908,7245
Classiques,0.8846756502663742,0.937873754152824,0.8371886120996441,7245
Topology,0.5412511332728921,0.4509063444108761,0.6768707482993197,3514
Spectral,0.2585939232645819,0.2201661631419939,0.3132724341751746,3514
Classiques,0.9047023064544968,0.9554380664652568,0.8590831918505942,3514
Topology,0.5007278020378457,0.4093613645378818,0.6445971267957527,4530
Spectral,0.2404878048780487,0.1955573185243951,0.3122229259024699,4530
Classiques,0.9310693349504752,0.9135263784212614,0.9492992580379224,4530
Topology,0.5900416758060978,0.4817335243553008,0.7611771363893605,7622
Spectral,0.2456730769230769,0.1830229226361031,0.3735380116959064,7622
Classiques,0.9098743267504488,0.9075931232091692,0.912167026637869,7622
Topology,0.4832007073386383,0.4210323574730354,0.566908713692946,7518
Spectral,0.2446982055464926,0.2022342064714946,0.3097345132743362,7518
Classiques,0.9155418434246048,0.9144838212634824,0.9166023166023166,7518
Topology,0.5058344640434193,0.3914321713565729,0.7147239263803681,4863
Spectral,0.2072892938496583,0.1528769424611507,0.3218390804597701,4863
Classiques,0.8416825195518918,0.8362032759344813,0.8472340425531915,4863
Topology,0.5422354948805461,0.4714391691394659,0.6380522088353414,594
Spectral,0.2315498154981549,0.1862017804154302,0.3060975609756097,594
Classiques,0.9292018779342724,0.9176557863501484,0.9410422213769494,594
Topology,0.5301629238221048,0.4233473980309423,0.7090694935217904,8220
Spectral,0.2280232039268183,0.1796765119549929,0.3119658119658119,8220
Classiques,0.9332650622973204,0.961322081575246,0.9067993366500828,8220
Topology,0.4327002477291494,0.3535762483130904,0.5574468085106383,2794
Spectral,0.2043837176202675,0.1614934772829509,0.2782945736434108,2794
Classiques,0.7914222132308315,0.8798920377867746,0.7191176470588235,2794
Topology,0.4737091425864519,0.4120313143798929,0.5571030640668524,1468
Spectral,0.1758297441094502,0.1429748660898228,0.2282894736842105,1468
Classiques,0.8884990253411306,0.939019365471776,0.8431372549019608,1468
Topology,0.5349195858118528,0.4494631617919289,0.6605005440696409,9086
Spectral,0.2660907127429806,0.2280636801184746,0.31933644375324,9086
Classiques,0.9174347158218126,0.8844872269529804,0.9529317909852412,9086
Topology,0.4674111675126903,0.4349962207105064,0.5050460728389644,4196
Spectral,0.1751990898748578,0.1455026455026455,0.220125786163522,4196
Classiques,0.9144554455445544,0.8726379440665155,0.9604825291181364,4196
Topology,0.5350783093756705,0.4810956790123457,0.6027066215563074,8551
Spectral,0.2439470077661032,0.2060185185185185,0.2989921612541993,8551
Classiques,0.8526068208545668,0.8391203703703703,0.8665338645418327,8551
Topology,0.5142857142857142,0.4420289855072464,0.6147816349384099,5292
Spectral,0.2785317018909899,0.252012882447665,0.3112879164594729,5292
Classiques,0.8795040681906238,0.9138486312399356,0.847647498132935,5292
Topology,0.5203128942720161,0.42656185353744314,0.666882276843467,7220
Spectral,0.2737286149519569,0.24162184526272237,0.31567567567567567,7220
Classiques,0.9299873471109237,0.9122879602813405,0.9483870967741935,7220
Topology+Spectral,0.5588458618071375,0.45676458419528343,0.7196870925684485,7220
Topology+Classiques,0.9334768568353068,0.896979726934216,0.9730700179533214,7220
Spectral+Classiques,0.9301215277777778,0.8866363260239967,0.9780921953445915,7220
Topology+Spectral+Classiques,0.9294245385450597,0.8853951179147703,0.9780621572212066,7220
Topology,0.4617207869163309,0.36438458660680884,0.630012936610608,9149
Spectral,0.2688927943760984,0.22895622895622897,0.32570516232038316,9149
Classiques,0.7967042206154363,0.8862701084923307,0.7235797189981674,9149
Topology+Spectral,0.5124486342760455,0.39655817433595214,0.7240437158469946,9149
Topology+Classiques,0.83943457774556,0.8664421997755332,0.8140597539543059,9149
Spectral+Classiques,0.8457101658255227,0.877665544332211,0.816,9149
Topology+Spectral+Classiques,0.8603151862464183,0.8986157875046764,0.8251459979388527,9149
