Family,F1,Recall,Precision,Seed
Topology,0.5227062094531975,0.4346820809248555,0.6554328878558977,8581
Spectral,0.228110599078341,0.1907514450867052,0.2836676217765043,8581
Classiques,0.9228939544103072,0.8971098265895954,0.950204081632653,8581
Topology,0.5042170047868703,0.4161023325808879,0.6396761133603239,316
Spectral,0.2810737649447327,0.2343867569601204,0.3509859154929577,316
Classiques,0.8653521126760564,0.8668171557562077,0.8638920134983127,316
Topology,0.4840258926707037,0.5021663778162911,0.4671503426037888,63
Spectral,0.2298387096774193,0.1975736568457539,0.2746987951807229,63
Classiques,0.8661767980405255,0.8427209705372617,0.890975721484196,63
Topology,0.5529726393746143,0.4769339957416607,0.657856093979442,3501
Spectral,0.2386117136659436,0.1951738821859474,0.3069196428571428,3501
Classiques,0.8821650697596235,0.9311568488289568,0.83807090386458,3501
Topology,0.5381145692377086,0.4376375641966251,0.6984777517564403,6293
Spectral,0.2043895747599451,0.1639765223771093,0.2712378640776699,6293
Classiques,0.9006671608598962,0.8914159941305942,0.9101123595505618,6293
Topology,0.4780065005417118,0.415442561205273,0.5627551020408164,2055
Spectral,0.2689229361994054,0.2214689265536723,0.3422584400465657,2055
Classiques,0.9003164556962026,0.8572504708097929,0.9479383590170762,2055
Topology,0.474592754680282,0.3716679360243716,0.65635507733692,9596
Spectral,0.3374000841396719,0.3054074638233054,0.3768796992481203,9596
Classiques,0.9047711029553795,0.8918507235338918,0.9180713445707566,9596
Topology,0.5184210526315789,0.4320175438596491,0.6480263157894737,6326
Spectral,0.3055263710863626,0.2657163742690058,0.3593672763222936,6326
Classiques,0.9071760085683684,0.9287280701754386,0.8866015352407537,6326
Topology,0.498927805575411,0.4294503691550451,0.595224559408755,745
Spectral,0.2139917695473251,0.2132895816242822,0.2146985962014863,745
Classiques,0.8894931054573704,0.9392945036915504,0.8447067502766507,745
Topology,0.5313345825525713,0.44,0.6705202312138728,2080
Spectral,0.217743611053397,0.1806896551724137,0.2739153162571877,2080
Classiques,0.816260162601626,0.9520689655172414,0.714359637774903,2080
Topology,0.451131221719457,0.3879377431906615,0.538918918918919,2370
Spectral,0.2261986694195916,0.191828793774319,0.2755729457797652,2370
Classiques,0.8891058180398282,0.8859922178988326,0.8922413793103449,2370
Topology,0.5077081192189106,0.4243986254295532,0.6317135549872123,1177
Spectral,0.2275280898876404,0.1948453608247422,0.2733847637415622,1177
Classiques,0.8709523049928218,0.9381443298969072,0.8127418874665079,1177
Topology,0.5217974513749162,0.436751497005988,0.6479733481399222,9336
