Family,F1,Recall,Precision,Seed
Topology,0.5095776598199862,0.4550700741962077,0.5789197692711064,3858
Spectral,0.2359523230357577,0.1999175597691673,0.2878338278931751,3858
Classiques,0.8595573440643863,0.8804616652926628,0.839622641509434,3858
Topology,0.5167624521072797,0.4213197969543147,0.6681114551083591,3304
Spectral,0.2582345191040843,0.2295978133541585,0.2950326141495233,3304
Classiques,0.9138894240030824,0.9262007028504492,0.9019011406844106,3304
Topology,0.5590994371482176,0.438235294117647,0.772020725388601,1545
Spectral,0.2678495986480777,0.2330882352941176,0.3147964250248262,1545
Classiques,0.8904632152588556,0.9011029411764706,0.8800718132854578,1545
Topology,0.4375865479723047,0.4362919132149901,0.4388888888888889,7389
Spectral,0.2456218133451563,0.2185404339250493,0.2803643724696356,7389
Classiques,0.8213991769547325,0.7873767258382643,0.858494623655914,7389
Topology,0.5449644694927713,0.4393520347688661,0.7174193548387097,2602
Spectral,0.2382271468144044,0.2038719873567759,0.2865074958356469,2602
Classiques,0.8824807426427019,0.8826550770446464,0.882306477093207,2602
Topology,0.4542390458905885,0.326865671641791,0.7442650807136788,2785
Spectral,0.2029976334472784,0.1440298507462686,0.3437221727515583,2785
Classiques,0.914885639295088,0.9104477611940298,0.9193669932177844,2785
Topology,0.4922059518186112,0.3889511011571482,0.670096463022508,6169
Spectral,0.2274580879021296,0.1873833519970138,0.2893371757925072,6169
Classiques,0.893759943432915,0.9436356849570736,0.8488918737407656,6169
Topology,0.5159394076418721,0.4111711711711712,0.6923543689320388,1037
Spectral,0.2642487046632124,0.2205405405405405,0.3295638126009693,1037
Classiques,0.9040489962572305,0.9574774774774776,0.8562681276184337,1037
Topology,0.5169300225733634,0.4383614088820827,0.6298129812981298,1521
Spectral,0.146352118829183,0.1282542113323124,0.1703967446592065,1521
Classiques,0.841079460269865,0.8591117917304747,0.8237885462555066,1521
Topology,0.4965652600588812,0.3855238095238095,0.6974500344589938,9128
Spectral,0.2136919315403423,0.1664761904761904,0.2982935153583618,9128
Classiques,0.8601928374655647,0.9516190476190476,0.7847942192899781,9128
Topology,0.5057517658930374,0.4499102333931777,0.5774193548387097,8579
Spectral,0.1949411251635412,0.1605026929982046,0.2481954469739034,8579
Classiques,0.8367528991971455,0.8420107719928187,0.8315602836879432,8579
Topology,0.55523449655479,0.4684921230307577,0.6813966175668303,6946
Spectral,0.2501162250116225,0.2018004501125281,0.3288508557457212,6946
Classiques,0.9155334227159548,0.8964741185296324,0.9354207436399216,6946
Topology,0.5697921086126432,0.4883636363636364,0.6838085539714868,4534
Spectral,0.268586162440911,0.2272727272727272,0.3282563025210084,4534
Classiques,0.905674995157854,0.8501818181818181,0.9689183588893494,4534
Topology,0.4805653710247349,0.407510986815821,0.5855338691159586,6758
Spectral,0.2008712487899322,0.1658010387534958,0.2547575199508901,6758
Classiques,0.7601590869790766,0.8781462245305633,0.6701219512195122,6758
Topology,0.4633416458852867,0.401642888024211,0.5474366529169122,4321
Spectral,0.1736281736281736,0.1374837872892347,0.2355555555555555,4321
Classiques,0.8363301060396496,0.7842628620838737,0.8958024691358024,4321
Topology,0.4439073514602215,0.4355731225296442,0.4525667351129363,6695
Spectral,0.2134406057737813,0.1782608695652174,0.2659198113207547,6695
Classiques,0.8979118329466357,0.9177865612648222,0.8788796366389099,6695
Topology,0.5576069175040897,0.4461480927449514,0.7433021806853582,3489
Spectral,0.2866323907455013,0.25018698578908,0.335506519558676,3489
Classiques,0.8786293958521191,0.9109947643979056,0.8484848484848485,3489
Topology,0.4556962025316455,0.3774193548387097,0.5749385749385749,1408
Spectral,0.2394366197183098,0.1919354838709677,0.3181818181818182,1408
Classiques,0.8007662835249042,0.842741935483871,0.7627737226277372,1408
Topology,0.486574074074074,0.3717721966749204,0.7039517749497656,9429
Spectral,0.2925616097671263,0.2288645206933144,0.4053884711779448,9429
Classiques,0.9234167893961708,0.8871595330739299,0.962763915547025,9429
Topology,0.504881450488145,0.3957725947521865,0.6970474967907574,5619
Spectral,0.2584405144694534,0.2343294460641399,0.2880824372759856,5619
