embedding_model,classifier,repeat,seed,precision,recall,f1,Recall@GS,MRR,nb_0,nb_1,elapsed_train,elapsed_test,n_features_used
albert,XGBoost,1,42,0.9702499008330028,0.966798418972332,0.9685210849336765,0.9407215361982341,0.9688435374149661,108765,2530,19.02926,1.36167,80
bart,XGBoost,1,42,0.9702499008330028,0.966798418972332,0.9685210849336765,0.9407215361982341,0.9688435374149661,108765,2530,18.84762,1.37043,80
bert,XGBoost,1,42,0.9702499008330028,0.966798418972332,0.9685210849336765,0.9407215361982341,0.9688435374149661,108765,2530,18.88924,1.40271,80
distilbert,XGBoost,1,42,0.9702499008330028,0.966798418972332,0.9685210849336765,0.9407215361982341,0.9688435374149661,108765,2530,18.73302,1.37142,80
minilm,XGBoost,1,42,0.9702499008330028,0.966798418972332,0.9685210849336765,0.9407215361982341,0.9688435374149661,108765,2530,19.14383,1.3817,80
roberta,XGBoost,1,42,0.9702499008330028,0.966798418972332,0.9685210849336765,0.9407215361982341,0.9688435374149661,108765,2530,18.96363,1.3842,80
albert,XGBoost,2,43,0.9615097159940209,0.9805640243902439,0.9709433962264151,0.8925134224247733,0.9242875300684735,119980,2624,18.61655,1.45526,80
bart,XGBoost,2,43,0.9615097159940209,0.9805640243902439,0.9709433962264151,0.8925134224247733,0.9242875300684735,119980,2624,18.90704,1.4549,80
bert,XGBoost,2,43,0.9615097159940209,0.9805640243902439,0.9709433962264151,0.8925134224247733,0.9242875300684735,119980,2624,18.59647,1.4382,80
distilbert,XGBoost,2,43,0.9615097159940209,0.9805640243902439,0.9709433962264151,0.8925134224247733,0.9242875300684735,119980,2624,18.72593,1.45448,80
minilm,XGBoost,2,43,0.9615097159940209,0.9805640243902439,0.9709433962264151,0.8925134224247733,0.9242875300684735,119980,2624,18.74773,1.43023,80
roberta,XGBoost,2,43,0.9615097159940209,0.9805640243902439,0.9709433962264151,0.8925134224247733,0.9242875300684735,119980,2624,18.6345,1.44973,80
albert,XGBoost,3,44,0.9518860662047729,0.9577846630518978,0.9548262548262548,0.9321067658982992,0.9643290831815422,110768,2582,18.64193,1.36493,80
bart,XGBoost,3,44,0.9518860662047729,0.9577846630518978,0.9548262548262548,0.9321067658982992,0.9643290831815422,110768,2582,18.86674,1.36035,80
bert,XGBoost,3,44,0.9518860662047729,0.9577846630518978,0.9548262548262548,0.9321067658982992,0.9643290831815422,110768,2582,18.65858,1.36615,80
distilbert,XGBoost,3,44,0.9518860662047729,0.9577846630518978,0.9548262548262548,0.9321067658982992,0.9643290831815422,110768,2582,18.74201,1.37774,80
minilm,XGBoost,3,44,0.9567734465457353,0.9601084430673896,0.958438043688382,0.9337456017692318,0.9650364298724955,110768,2582,18.81997,1.36799,80
roberta,XGBoost,3,44,0.9518860662047729,0.9577846630518978,0.9548262548262548,0.9321067658982992,0.9643290831815422,110768,2582,18.60217,1.36536,80
albert,XGBoost,4,45,0.9640575079872205,0.964828137490008,0.9644426687974431,0.9580071116399927,0.9338254338254338,107448,2502,19.16276,1.34122,80
bart,XGBoost,4,45,0.9640575079872205,0.964828137490008,0.9644426687974431,0.9580071116399927,0.9338254338254338,107448,2502,19.04864,1.33227,80
bert,XGBoost,4,45,0.9640575079872205,0.964828137490008,0.9644426687974431,0.9580071116399927,0.9338254338254338,107448,2502,19.24017,1.33644,80
distilbert,XGBoost,4,45,0.9640575079872205,0.964828137490008,0.9644426687974431,0.9580071116399927,0.9338254338254338,107448,2502,19.33191,1.33677,80
minilm,XGBoost,4,45,0.9664402716739912,0.9668265387689848,0.9666333666333666,0.9572843346806567,0.9341880341880342,107448,2502,19.16286,1.33608,80
roberta,XGBoost,4,45,0.9640575079872205,0.964828137490008,0.9644426687974431,0.9580071116399927,0.9338254338254338,107448,2502,18.68613,1.32353,80
albert,XGBoost,5,46,0.9445684523809523,0.9463287364890048,0.9454477750884379,0.9609611727460604,0.849624060150376,117490,2683,17.93132,1.50143,80
bart,XGBoost,5,46,0.9445684523809523,0.9463287364890048,0.9454477750884379,0.9609611727460604,0.849624060150376,117490,2683,18.22582,1.50808,80
bert,XGBoost,5,46,0.9445684523809523,0.9463287364890048,0.9454477750884379,0.9609611727460604,0.849624060150376,117490,2683,18.00845,1.50699,80
distilbert,XGBoost,5,46,0.9445684523809523,0.9463287364890048,0.9454477750884379,0.9609611727460604,0.849624060150376,117490,2683,18.05284,1.49912,80
minilm,XGBoost,5,46,0.9456035767511177,0.9459560193812896,0.9457797652319732,0.9616447327117729,0.849624060150376,117490,2683,18.0569,1.49983,80
roberta,XGBoost,5,46,0.9445684523809523,0.9463287364890048,0.9454477750884379,0.9609611727460604,0.849624060150376,117490,2683,18.12486,1.50019,80
albert,XGBoost,6,47,0.9578181818181818,0.9748334566987417,0.9662509170946442,0.9583984658826187,0.9326086956521739,116767,2702,18.38765,1.49635,80
bart,XGBoost,6,47,0.9578181818181818,0.9748334566987417,0.9662509170946442,0.9583984658826187,0.9326086956521739,116767,2702,18.22519,1.47122,80
bert,XGBoost,6,47,0.9578181818181818,0.9748334566987417,0.9662509170946442,0.9583984658826187,0.9326086956521739,116767,2702,18.17805,1.47618,80
distilbert,XGBoost,6,47,0.9578181818181818,0.9748334566987417,0.9662509170946442,0.9583984658826187,0.9326086956521739,116767,2702,18.35968,1.48776,80
minilm,XGBoost,6,47,0.9598393574297188,0.9729829755736491,0.9663664767505973,0.9604082167652935,0.9324016563146998,116767,2702,18.41687,1.46314,80
roberta,XGBoost,6,47,0.9578181818181818,0.9748334566987417,0.9662509170946442,0.9583984658826187,0.9326086956521739,116767,2702,18.36098,1.47354,80
albert,XGBoost,7,48,0.9481311975591151,0.9646876212650368,0.9563377572610118,0.9708992270467903,0.8373983739837398,110776,2577,18.14852,1.42297,80
bart,XGBoost,7,48,0.9481311975591151,0.9646876212650368,0.9563377572610118,0.9708992270467903,0.8373983739837398,110776,2577,18.04021,1.42961,80
bert,XGBoost,7,48,0.9481311975591151,0.9646876212650368,0.9563377572610118,0.9708992270467903,0.8373983739837398,110776,2577,18.05152,1.43868,80
distilbert,XGBoost,7,48,0.9481311975591151,0.9646876212650368,0.9563377572610118,0.9708992270467903,0.8373983739837398,110776,2577,18.15943,1.42621,80
minilm,XGBoost,7,48,0.9481311975591151,0.9646876212650368,0.9563377572610118,0.9708992270467903,0.8373983739837398,110776,2577,17.90059,1.42806,80
roberta,XGBoost,7,48,0.9481311975591151,0.9646876212650368,0.9563377572610118,0.9708992270467903,0.8373983739837398,110776,2577,18.51208,1.43394,80
albert,XGBoost,8,49,0.9688940092165899,0.9651874521805662,0.9670371789957838,0.928212624461689,0.9473931275831899,112942,2614,18.83694,1.36048,80
bart,XGBoost,8,49,0.9688940092165899,0.9651874521805662,0.9670371789957838,0.928212624461689,0.9473931275831899,112942,2614,18.80684,1.38723,80
bert,XGBoost,8,49,0.9688940092165899,0.9651874521805662,0.9670371789957838,0.928212624461689,0.9473931275831899,112942,2614,18.85853,1.38164,80
