embedding_model,classifier,repeat,seed,category,precision,recall,f1,Recall@GS,MRR,nb_test,nb_0,nb_1,n_features_used
albert,XGBoost,1,42,ChEMBL,0.9630872483221476,0.9795221843003413,0.9712351945854484,0.9714658111059912,1.0,16416,15830,586,80
albert,XGBoost,1,42,Magellan,1.0,1.0,1.0,1.0,1.0,207,176,31,80
albert,XGBoost,1,42,OpenData,0.9679104477611941,0.9744552967693464,0.9711718457506552,0.9791564536810663,1.0,79596,78265,1331,80
albert,XGBoost,1,42,TPC-DI,0.9869158878504672,0.9565217391304348,0.9714811407543699,0.9736510124809357,1.0,14338,13786,552,80
albert,XGBoost,1,42,Wikidata,0.8421052631578947,0.5333333333333333,0.6530612244897959,0.7,0.781904761904762,738,708,30,80
bart,XGBoost,1,42,ChEMBL,0.9630872483221476,0.9795221843003413,0.9712351945854484,0.9714658111059912,1.0,16416,15830,586,80
bart,XGBoost,1,42,Magellan,1.0,1.0,1.0,1.0,1.0,207,176,31,80
bart,XGBoost,1,42,OpenData,0.9679104477611941,0.9744552967693464,0.9711718457506552,0.9791564536810663,1.0,79596,78265,1331,80
bart,XGBoost,1,42,TPC-DI,0.9869158878504672,0.9565217391304348,0.9714811407543699,0.9736510124809357,1.0,14338,13786,552,80
bart,XGBoost,1,42,Wikidata,0.8421052631578947,0.5333333333333333,0.6530612244897959,0.7,0.781904761904762,738,708,30,80
bert,XGBoost,1,42,ChEMBL,0.9630872483221476,0.9795221843003413,0.9712351945854484,0.9714658111059912,1.0,16416,15830,586,80
bert,XGBoost,1,42,Magellan,1.0,1.0,1.0,1.0,1.0,207,176,31,80
bert,XGBoost,1,42,OpenData,0.9679104477611941,0.9744552967693464,0.9711718457506552,0.9791564536810663,1.0,79596,78265,1331,80
bert,XGBoost,1,42,TPC-DI,0.9869158878504672,0.9565217391304348,0.9714811407543699,0.9736510124809357,1.0,14338,13786,552,80
bert,XGBoost,1,42,Wikidata,0.8421052631578947,0.5333333333333333,0.6530612244897959,0.7,0.781904761904762,738,708,30,80
distilbert,XGBoost,1,42,ChEMBL,0.9630872483221476,0.9795221843003413,0.9712351945854484,0.9714658111059912,1.0,16416,15830,586,80
distilbert,XGBoost,1,42,Magellan,1.0,1.0,1.0,1.0,1.0,207,176,31,80
distilbert,XGBoost,1,42,OpenData,0.9679104477611941,0.9744552967693464,0.9711718457506552,0.9791564536810663,1.0,79596,78265,1331,80
distilbert,XGBoost,1,42,TPC-DI,0.9869158878504672,0.9565217391304348,0.9714811407543699,0.9736510124809357,1.0,14338,13786,552,80
distilbert,XGBoost,1,42,Wikidata,0.8421052631578947,0.5333333333333333,0.6530612244897959,0.7,0.781904761904762,738,708,30,80
minilm,XGBoost,1,42,ChEMBL,0.9630872483221476,0.9795221843003413,0.9712351945854484,0.9714658111059912,1.0,16416,15830,586,80
minilm,XGBoost,1,42,Magellan,1.0,1.0,1.0,1.0,1.0,207,176,31,80
minilm,XGBoost,1,42,OpenData,0.9679104477611941,0.9744552967693464,0.9711718457506552,0.9791564536810663,1.0,79596,78265,1331,80
minilm,XGBoost,1,42,TPC-DI,0.9869158878504672,0.9565217391304348,0.9714811407543699,0.9736510124809357,1.0,14338,13786,552,80
minilm,XGBoost,1,42,Wikidata,0.8421052631578947,0.5333333333333333,0.6530612244897959,0.7,0.781904761904762,738,708,30,80
roberta,XGBoost,1,42,ChEMBL,0.9630872483221476,0.9795221843003413,0.9712351945854484,0.9714658111059912,1.0,16416,15830,586,80
roberta,XGBoost,1,42,Magellan,1.0,1.0,1.0,1.0,1.0,207,176,31,80
roberta,XGBoost,1,42,OpenData,0.9679104477611941,0.9744552967693464,0.9711718457506552,0.9791564536810663,1.0,79596,78265,1331,80
roberta,XGBoost,1,42,TPC-DI,0.9869158878504672,0.9565217391304348,0.9714811407543699,0.9736510124809357,1.0,14338,13786,552,80
roberta,XGBoost,1,42,Wikidata,0.8421052631578947,0.5333333333333333,0.6530612244897959,0.7,0.781904761904762,738,708,30,80
albert,XGBoost,2,43,ChEMBL,0.9737373737373738,0.9897330595482546,0.9816700610997964,0.9855492543583281,1.0,14033,13546,487,80
albert,XGBoost,2,43,Magellan,1.0,1.0,1.0,1.0,1.0,106,92,14,80
