benchmark,scenario,dataset,source_table,target_table,ncols_src,ncols_tgt,nrows_src,nrows_tgt,nmatches,method,runtime,mrr,All_Precision,All_F1Score,All_Recall,All_PrecisionTop10Percent,All_RecallAtSizeofGroundTruth,One2One_Precision,One2One_F1Score,One2One_Recall,One2One_PrecisionTop10Percent,One2One_RecallAtSizeofGroundTruth,type
valentine,si_si,Magellan,amazon_google_exp_source.csv,amazon_google_exp_target.csv,4.0,4.0,1363.0,3226.0,4.0,Coma++,12.469708681106567,1.0,1.0,0.8571428571428571,0.75,1.0,1.0,1.0,0.8571428571428571,0.75,1.0,0.75,
valentine,si_si,Magellan,beeradvo_ratebeer_source.csv,beeradvo_ratebeer_target.csv,5.0,5.0,4345.0,3000.0,5.0,Coma++,17.660304069519043,1.0,1.0,0.888888888888889,0.8,1.0,1.0,1.0,0.7499999999999999,0.6,1.0,0.8,
valentine,si_si,Magellan,dblp_acm_source.csv,dblp_acm_target.csv,5.0,5.0,2615.0,2294.0,5.0,Coma++,18.70359516143799,1.0,1.0,0.888888888888889,0.8,1.0,1.0,1.0,0.7499999999999999,0.6,1.0,0.8,
valentine,si_si,Magellan,itunes_amazon_source.csv,itunes_amazon_target.csv,9.0,9.0,6907.0,55923.0,9.0,Coma++,24.60986280441284,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,0.6153846153846153,0.4444444444444444,1.0,0.6666666666666666,
valentine,si_si,Magellan,dblp_scholar_source.csv,dblp_scholar_target.csv,5.0,5.0,2615.0,64263.0,5.0,Coma++,18.47245168685913,1.0,1.0,0.888888888888889,0.8,1.0,1.0,1.0,0.7499999999999999,0.6,1.0,0.8,
valentine,si_si,Magellan,walmart_amazon_source.csv,walmart_amazon_target.csv,6.0,6.0,2553.0,22074.0,6.0,Coma++,28.196216106414795,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_1_ac4_av_source.csv,prospect_both_50_1_ac4_av_target.csv,11.0,12.0,7491.0,11236.0,1.0,Coma++,45.38339304924011,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,
valentine,si_si,TPC-DI,prospect_both_50_1_ac3_av_source.csv,prospect_both_50_1_ac3_av_target.csv,11.0,12.0,7491.0,11236.0,1.0,Coma++,46.29587197303772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
valentine,si_si,TPC-DI,prospect_both_50_1_ac5_av_source.csv,prospect_both_50_1_ac5_av_target.csv,11.0,12.0,7491.0,11236.0,1.0,Coma++,49.42348051071167,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,
valentine,si_si,TPC-DI,prospect_both_50_1_ac2_av_source.csv,prospect_both_50_1_ac2_av_target.csv,11.0,12.0,7491.0,11236.0,1.0,Coma++,50.44604420661926,1.0,0.25,0.4,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,
valentine,si_si,TPC-DI,prospect_both_50_1_ac1_av_source.csv,prospect_both_50_1_ac1_av_target.csv,11.0,12.0,7491.0,11236.0,1.0,Coma++,46.731377840042114,1.0,0.25,0.4,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,
valentine,si_si,TPC-DI,prospect_both_50_1_ac1_av_source.csv,prospect_both_50_1_ac1_av_target.csv,11.0,12.0,7491.0,11236.0,1.0,Coma++,48.44241571426392,1.0,0.25,0.4,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,
valentine,si_si,TPC-DI,prospect_both_50_30_ac2_av_source.csv,prospect_both_50_30_ac2_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,85.45036005973816,1.0,0.8,0.7272727272727272,0.6666666666666666,1.0,0.8333333333333334,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_30_ac5_av_source.csv,prospect_both_50_30_ac5_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,68.5599353313446,1.0,0.8,0.7272727272727272,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_30_ac1_av_source.csv,prospect_both_50_30_ac1_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,79.85233521461487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,0.8333333333333334,1.0,1.0,
valentine,si_si,TPC-DI,prospect_both_50_30_ec_av_source.csv,prospect_both_50_30_ec_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,86.44769334793091,1.0,1.0,0.9090909090909092,0.8333333333333334,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.8333333333333334,
valentine,si_si,TPC-DI,prospect_both_50_30_ac4_av_source.csv,prospect_both_50_30_ac4_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,76.87771320343018,0.8333333333333334,1.0,0.8,0.6666666666666666,1.0,0.8333333333333334,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_30_ac5_av_source.csv,prospect_both_50_30_ac5_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,70.73785495758057,1.0,0.8,0.7272727272727272,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_30_ac4_av_source.csv,prospect_both_50_30_ac4_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,72.74935150146484,0.8333333333333334,1.0,0.8,0.6666666666666666,1.0,0.8333333333333334,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_30_ec_av_source.csv,prospect_both_50_30_ec_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,84.95354557037354,1.0,1.0,0.9090909090909092,0.8333333333333334,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.8333333333333334,
valentine,si_si,TPC-DI,prospect_both_50_30_ac2_av_source.csv,prospect_both_50_30_ac2_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,83.58055853843689,1.0,0.8,0.7272727272727272,0.6666666666666666,1.0,0.8333333333333334,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,
valentine,si_si,TPC-DI,prospect_both_50_30_ac1_av_source.csv,prospect_both_50_30_ac1_av_target.csv,14.0,14.0,7491.0,11236.0,6.0,Coma++,92.66611289978027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,0.8333333333333334,1.0,1.0,
valentine,si_si,TPC-DI,prospect_both_50_50_ac4_av_source.csv,prospect_both_50_50_ac4_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,128.88797974586487,0.6363636363636364,1.0,0.625,0.4545454545454545,1.0,0.6363636363636364,1.0,0.5333333333333333,0.3636363636363636,1.0,0.4545454545454545,
valentine,si_si,TPC-DI,prospect_both_50_50_ac2_av_source.csv,prospect_both_50_50_ac2_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,133.15217661857605,0.9090909090909092,1.0,0.7058823529411764,0.5454545454545454,1.0,0.9090909090909092,1.0,0.5333333333333333,0.3636363636363636,1.0,0.5454545454545454,
valentine,si_si,TPC-DI,prospect_vertical_1_ac1_av_source.csv,prospect_vertical_1_ac1_av_target.csv,11.0,12.0,14982.0,14982.0,1.0,Coma++,50.6399188041687,1.0,0.25,0.4,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,
valentine,si_si,TPC-DI,prospect_both_50_50_ac5_av_source.csv,prospect_both_50_50_ac5_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,116.89593076705933,0.6363636363636364,0.8,0.5000000000000001,0.3636363636363636,1.0,0.6363636363636364,1.0,0.5333333333333333,0.3636363636363636,1.0,0.3636363636363636,
valentine,si_si,TPC-DI,prospect_both_50_50_ac5_av_source.csv,prospect_both_50_50_ac5_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,122.00362014770508,0.6363636363636364,0.8,0.5000000000000001,0.3636363636363636,1.0,0.6363636363636364,1.0,0.5333333333333333,0.3636363636363636,1.0,0.3636363636363636,
valentine,si_si,TPC-DI,prospect_both_50_50_ac2_av_source.csv,prospect_both_50_50_ac2_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,121.24356389045715,0.9090909090909092,1.0,0.7058823529411764,0.5454545454545454,1.0,0.9090909090909092,1.0,0.5333333333333333,0.3636363636363636,1.0,0.5454545454545454,
valentine,si_si,TPC-DI,prospect_both_50_50_ec_av_source.csv,prospect_both_50_50_ec_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,124.3926203250885,1.0,1.0,0.7058823529411764,0.5454545454545454,1.0,1.0,1.0,0.5333333333333333,0.3636363636363636,1.0,0.5454545454545454,
valentine,si_si,TPC-DI,prospect_vertical_1_ac4_av_source.csv,prospect_vertical_1_ac4_av_target.csv,11.0,12.0,14982.0,14982.0,1.0,Coma++,53.615363359451294,1.0,0.25,0.4,1.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,
valentine,si_si,TPC-DI,prospect_both_50_50_ac1_av_source.csv,prospect_both_50_50_ac1_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,126.5924289226532,1.0,1.0,0.8421052631578948,0.7272727272727273,1.0,0.9090909090909092,1.0,0.625,0.4545454545454545,1.0,0.7272727272727273,
valentine,si_si,TPC-DI,prospect_both_50_50_ac1_av_source.csv,prospect_both_50_50_ac1_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,137.9664192199707,1.0,1.0,0.8421052631578948,0.7272727272727273,1.0,0.9090909090909092,1.0,0.625,0.4545454545454545,1.0,0.7272727272727273,
valentine,si_si,TPC-DI,prospect_both_50_70_ac4_av_source.csv,prospect_both_50_70_ac4_av_target.csv,18.0,19.0,7491.0,11236.0,15.0,Coma++,136.59383964538574,0.5333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5333333333333333,1.0,0.4210526315789474,0.2666666666666666,1.0,0.3333333333333333,
valentine,si_si,TPC-DI,prospect_both_50_70_ac4_av_source.csv,prospect_both_50_70_ac4_av_target.csv,18.0,19.0,7491.0,11236.0,15.0,Coma++,142.86672616004944,0.5333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5333333333333333,1.0,0.4210526315789474,0.2666666666666666,1.0,0.3333333333333333,
valentine,si_si,TPC-DI,prospect_both_50_50_ec_av_source.csv,prospect_both_50_50_ec_av_target.csv,16.0,17.0,7491.0,11236.0,11.0,Coma++,144.69707465171814,1.0,1.0,0.7058823529411764,0.5454545454545454,1.0,1.0,1.0,0.5333333333333333,0.3636363636363636,1.0,0.5454545454545454,
